ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
6400
ITEM: BOX BOUNDS ss pp pp
-9.7926982851326834e+00 3.6894730484111182e+02
0.0000000000000000e+00 1.4440000000000000e+01
0.0000000000000000e+00 1.4440000000000000e+01
ITEM: ATOMS id vx vy vz
2310 -0.227549 0.667217 -2.21476
2324 1.57936 -1.09572 -1.95892
2308 1.66566 -0.358365 -0.471716
2306 1.64913 1.25841 2.09828
2371 -0.670386 0.697138 2.01853
2389 0.979682 1.26975 -0.314019
2373 -0.496195 2.53119 -0.716316
2374 -0.625972 -3.14471 -0.295023
2388 -2.25342 -2.70205 -0.0225034
2372 0.538389 -1.36467 -0.0676344
2435 -1.16024 -2.14265 2.10038
2453 -1.62567 -0.803275 -0.667044
2438 0.793684 -1.42987 3.68209
2452 2.41627 0.75294 2.65567
2436 -0.988873 -1.77629 -0.78999
2437 -0.705528 3.54736 0.00592108
2434 1.56882 0.954048 0.504389
2499 0.117464 0.68687 -1.1849
2517 0.877973 -1.54622 0.215828
2501 -2.28003 -1.65098 -3.82473
2502 -2.18596 1.48114 1.92839
2500 3.45734 0.682007 -0.868367
2516 -1.56827 -1.2905 -0.941201
2563 -2.02894 0.0612783 3.67806
2581 3.19589 1.40236 2.0964
2565 1.43376 1.15148 5.35112
2566 -0.52083 3.52225 -2.06441
2580 -0.25234 0.720546 0.793884
2564 -3.16317 1.4268 2.96862
2577 -1.21702 -0.31657 -1.6061
2627 1.7253 -2.38378 0.367752
2645 -1.87215 -2.61551 0.538483
2629 2.19081 4.94242 1.04604
2630 0.196964 -2.84232 0.0477189
2644 -2.23076 -2.22937 1.95581
2628 -1.36153 -1.39879 3.81387
2691 1.39501 0.712879 -1.46477
2709 3.26291 1.14361 2.64486
2693 -2.31661 -0.903678 -0.768642
2694 2.61989 1.83653 -0.155959
2708 -1.04861 1.39595 -3.85993
2692 -0.625963 0.824549 2.38862
2689 0.919356 0.508327 -0.722773
2755 0.972413 -2.94737 2.52251
2773 0.819818 -1.04599 -2.53221
2757 -3.19609 1.5017 -0.495765
2758 -0.0174307 1.86748 0.544035
2772 1.2926 1.2067 -0.134735
2756 -1.01052 -0.48392 3.67637
2753 0.352837 2.3795 -0.103868
2769 1.76653 1.63825 -0.32708
2754 5.15218 1.02368 0.463146
2819 -2.62559 1.89331 -0.221121
2837 -1.06343 3.21507 -0.857049
2817 0.953146 -2.86117 0.388078
2821 -0.782229 -0.920203 -0.630716
2822 0.240269 -0.978165 -1.40612
2836 0.306194 1.49317 -1.28258
2820 0.180298 0.780044 0.697897
2833 -1.53431 -1.15873 -4.81641
2883 -0.979832 1.52748 2.26545
2901 0.159038 2.02522 -2.53462
2885 0.27929 -4.49992 1.61996
2886 -0.263087 -0.23894 -2.13161
2900 2.90959 0.196034 0.358922
2884 -1.414 0.531268 -0.854112
2947 -0.860808 -1.55299 -2.87143
2965 0.0193556 1.27184 2.52178
2949 2.65026 -1.37394 0.153886
2950 -1.76055 1.75643 0.778903
2964 0.207545 1.41768 3.29033
2948 -1.37946 -1.42938 1.94766
2946 -0.566015 1.00801 0.119449
3011 3.75634 -0.626723 1.4756
3029 0.0634175 -0.407286 -2.4521
3013 3.44112 -2.78699 -2.71471
3014 1.28864 -4.59181 -1.37557
3028 4.21652 1.22224 -1.36852
3012 -0.359869 1.81996 -2.66151
3010 -0.813074 -1.60775 -2.51496
3025 -0.969016 -2.2131 -0.61524
3075 1.28517 -1.08175 1.11751
3093 0.834102 0.623105 -0.230414
3078 -0.656544 1.41064 0.773788
3092 -3.17183 4.57592 -2.18371
3076 -0.56669 0.0805775 0.765046
3077 -0.914565 -3.47403 -0.752736
3073 1.39912 1.60233 -2.2368
3089 -2.26022 0.437479 -0.81158
3074 0.130533 0.673595 2.79759
3139 0.603779 -1.97916 -1.46249
3157 2.13827 1.17718 -3.1482
3142 1.54356 -2.02803 -0.769858
3156 -2.73554 -1.45068 -1.45539
3141 1.07116 -0.585631 0.0261379
3140 -2.50985 -0.21561 -3.34219
3153 -2.68114 -0.312431 3.56579
3203 1.03809 2.9917 2.69372
3221 -1.58161 -3.61614 -2.57642
3205 0.419497 1.11852 -3.6331
3206 1.814 2.27357 -0.811476
3220 1.10156 3.71659 -2.6561
3204 5.98636 -2.51951 -1.43874
3267 1.17711 -0.693852 -0.0859046
3285 6.1844 -0.197167 0.194521
3269 3.57937 2.12822 -0.0688617
3270 2.0648 -0.690804 -1.11707
3284 3.02223 2.69405 0.253158
3268 2.27182 -1.2647 -0.914485
3331 1.026 1.24431 -1.797
3349 -1.85479 1.7688 -0.628472
3333 -1.45816 2.24196 -1.46601
3334 -2.02216 3.50721 -3.10627
3348 0.0816727 0.0737864 1.11061
3332 -0.324771 -0.680322 -2.88852
3330 5.39837 2.03624 0.620865
3395 0.187719 -0.797148 3.42676
3413 1.77659 0.458067 0.745155
3397 1.21696 -1.28865 0.563011
3398 2.24389 -1.65888 3.19686
3412 -2.5059 -2.46703 -3.56516
3396 1.50348 -1.53698 0.202359
3409 -0.545375 3.34329 0.00743069
3393 -0.825025 -0.582674 2.23223
3459 -2.28097 0.845425 -2.23808
3477 -0.299719 -0.568742 -3.02297
3461 -1.38596 4.92258 -3.67664
3462 0.199251 -3.85416 -0.0824284
3476 2.72784 0.399316 0.587738
3460 -2.17149 1.46605 -0.192537
3523 0.571436 1.15773 1.95766
3541 -2.7146 -0.64867 -0.716364
3526 -2.54483 -0.78149 2.21494
3540 2.09901 -0.31278 0.100761
3525 -2.30831 0.382049 1.39067
3524 -2.92353 1.10608 0.0681434
3587 -2.51107 1.31746 3.14039
3605 0.727134 -2.95179 0.743919
3590 -0.747163 3.96505 -0.374422
